strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/TrinidadandTobago/64636/2021	EPI_ISL_2658381		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/64970/2021	EPI_ISL_2649796		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/59708/2021	EPI_ISL_1498095		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/63046/2021	EPI_ISL_2617933		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/61353/2021	EPI_ISL_1591720		Caribbean Public Health Laboratory	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/64378/2021	EPI_ISL_2658405		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/NewZealand/20CV0466/2020	EPI_ISL_622784		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Algeria/G38599-8859/2020	EPI_ISL_766871		NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
hCoV-19/Guinea/C4/2021	EPI_ISL_3281521		Laboratory CREAMS (from Russian) in Kindia, Guinea	Department of Microbiology, Russian Anti-Plague Research Institute	A.A. Kritsky et al
hCoV-19/Mexico/MEX-InDRE_121/2020	EPI_ISL_913925		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TLA_INER_IMSS_00591/2021	EPI_ISL_1595609		Laboratorio Central de Epidemiología (LCE)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/VT-CDCBI-CRSP_01366/2021	EPI_ISL_1413187	MW835133.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
hCoV-19/Mexico/NLE-UANL-024/2021	EPI_ISL_1091245		Laboratorio Estatal de Salud Pública de Nuevo León	Laboratorio de Infectología Molecular, Departamento de Bioquímica y Medicina Molecular,Facultad de Medicina - Universidad Autónoma de Nuevo León	Kame A. Galán-Huerta et al
hCoV-19/Chile/VS-7282/2021	EPI_ISL_1167872		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Mexico/CHP-InDRE_F10422_S811/2021	EPI_ISL_1424013		LESP Chiapas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/VER-InDRE_FB14024_S1987/2021	EPI_ISL_2158228		LESP Veracruz	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/HID_LANGEBIO_IMSS_0809/2021	EPI_ISL_2402219		Laboratorio Central de Epidemiologí­a (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/NAY_LANGEBIO_IMSS_0740/2021	EPI_ISL_2402151		Centro de Investigación Biomédica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/AGU_LANGEBIO_IMSS_0711/2021	EPI_ISL_2402125		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/JAL-InDRE_FB13973_S1959/2021	EPI_ISL_2158201		LESP Jalisco	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/SLP_LANGEBIO_IMSS_0672/2021	EPI_ISL_2402087		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/NM-NMDOH-2021091269/2021	EPI_ISL_2723710	MZ476144.1	Curative	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
hCoV-19/Argentina/PAIS-A0563/2021	EPI_ISL_2007552		Laboratorio de Virología Molecular – Hospital Blas L. Dubarry y Departamento de Ciencias Básicas – Universidad Nacional de Luján	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Belén Mónaco et al
hCoV-19/Argentina/INEI104425/2021	EPI_ISL_2140122		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Mexico/MOR-IBT_IMSS_2028/2021	EPI_ISL_2801873		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/AK-PHL8686/2021	EPI_ISL_2136432		Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al
hCoV-19/USA/AK-PHL8471/2021	EPI_ISL_2429114	MZ359726.1	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al
hCoV-19/Mexico/ZAC_LANGEBIO_IMSS_0681/2021	EPI_ISL_2402096		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/GUA-InDRE_FB13872_S2217/2021	EPI_ISL_2340860		LESP Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TLA-InDRE_FB13373_S1888/2021	EPI_ISL_2158131		LESP Tlaxcala	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/GUA-InDRE_FB16215_S2681/2021	EPI_ISL_2495986		LESP Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/CMX_IBT_IMSS_1282/2021	EPI_ISL_2391601		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/MI-CDC-STM-000051391/2021	EPI_ISL_1734674	MZ034899.1	Helix/Illumina	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/KS-CDC-QDX24155042/2021	EPI_ISL_2047016	MZ173179.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/CostaRica/HNN-0382/2021	EPI_ISL_1517426		Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Cristian Peréz-Corrales et al
hCoV-19/Mexico/PUE_IBT_IMSS_1310/2021	EPI_ISL_2391532		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TLA_INER_IMSS_1325/2021	EPI_ISL_2490582		Laboratorio Central de Epidemiología (LCE)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TAB_INER_IMSS_1160/2021	EPI_ISL_2490491		Unidad de Investigación Médica de Yucatán (UIMY)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TLA_IBT_IMSS_17405/NC/2021	EPI_ISL_3133787		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/HID-INMEGEN-05-05-250/2021	EPI_ISL_2550757		Salud Digna	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
hCoV-19/Mexico/NAY_INER_IMSS_1166/2021	EPI_ISL_2490395		Centro de Investigación Biomédica de Occidente (CIBO)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/COL-LANGEBIO_IMSS_1043/2021	EPI_ISL_2671555		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/JAL-LANGEBIO_IMSS_1026/2021	EPI_ISL_2671579		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/SIN-InDRE_FB15067_S2233/2021	EPI_ISL_2340875		LESP Sinaloa	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/CMX-INMEGEN-03-09-33/2021	EPI_ISL_1406087		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
hCoV-19/Mexico/MOR-InDRE_FB13161_S1569/2021	EPI_ISL_1821141		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MOR-InDRE_F12323_S1308/2021	EPI_ISL_1661474		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/PUE-INER-IMSS-00131/2021	EPI_ISL_1279412		Laboratorio Central de Epidemiología (LCE)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/ZAC_IBT_IMSS_1496/2021	EPI_ISL_2681052		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/VER_INER_IMSS_00576/2021	EPI_ISL_1585575		Laboratorio Central de Epidemiología (LCE)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TAM-InDRE_FB14048_S2352/2021	EPI_ISL_2342984		LESP Tamaulipas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/WA-UW-60982/2021	EPI_ISL_1110111	MW987718.1	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/Mexico/BCS-InDRE_FB14099_S1990/2021	EPI_ISL_2158231		LESP Baja California Sur	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MIC-InDRE_FB16694_S3033/2021	EPI_ISL_2559429		LESP Michoacan	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/YUC_LANGEBIO_IMSS_0609/2021	EPI_ISL_2402027		Unidad de Investigación Médica de Yucatán (UIMY)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/QUE-InDRE_FB15763_S2628/2021	EPI_ISL_2495928		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/GRO-InDRE_FB17786_S4179/2021	EPI_ISL_2920750		LESP Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MOR-InDRE_FB13801_S1937/2021	EPI_ISL_2158179		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/QUE-InDRE_FB13998_S2232/2021	EPI_ISL_2340959		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MOR-InDRE_FB16530_S3243/2021	EPI_ISL_2688915		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MIC-InDRE_FB15021_S2163/2021	EPI_ISL_2340900		LESP Michoacan	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/ZAC_IBT_IMSS_1468/2021	EPI_ISL_2681234		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/COL_LANGEBIO_IMSS_0738/2021	EPI_ISL_2402149		Centro de Investigación Biomédica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/AGU_IBT_IMSS_1465/2021	EPI_ISL_2681317		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Curacao/CW-RIVM-18390/2021	EPI_ISL_1370626		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Mexico/PUE_IBT_IMSS_1256/2021	EPI_ISL_2391586		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/MEX-INMEGEN-05-03-170/2021	EPI_ISL_2319301		Salud Digna	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
hCoV-19/Mexico/CAM-InDRE_F11513_S957/2021	EPI_ISL_1483067		LESP Campeche	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/GRO-InDRE_FB14111_S1991/2021	EPI_ISL_2158232		LESP Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MEX_INER_IMSS_00985/2021	EPI_ISL_2091424		Laboratorio Central de Epidemiología (LCE)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/DUR_LANGEBIO_IMSS_0522/2021	EPI_ISL_2401949		Centro de Investigación Biomédica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Australia/WA714/2021	EPI_ISL_1914667		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Australia/WA697/2021	EPI_ISL_1816918		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Australia/WA713/2021	EPI_ISL_1914666		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Iceland/4564/2021	EPI_ISL_828256	OU165916.1	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Uruguay/RT22-UYMO/2020	EPI_ISL_2965586		Hospital Español	Centro de Innovación en Vigilancia Epidemiológica (CiVE), Institut Pasteur Montevideo, Uruguay	Natalia Rego et al
hCoV-19/Aruba/AW-RIVM-10391/2020	EPI_ISL_636517		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Iceland/4559/2020	EPI_ISL_828251	OU165908.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Italy/VEN-UniVR-26/2020	EPI_ISL_1064018		IRCCS Sacro Cuore Don Calabria Hospital, Department of Infectious, Tropical Diseases & Microbiology	University of Verona, Department of Biotechnology	Antonio Mori et al
hCoV-19/Finland/THL-202100622/2020	EPI_ISL_2537328		Länsi-Pohjan keskussairaala	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al
hCoV-19/USA/DE-DHSS-F972771/2020	EPI_ISL_693701		Delaware Public Health Laboratory	Delaware Public Health Laboratory	Gregory Hovan et al
hCoV-19/Crimea/RII-MH3433S/2020	EPI_ISL_1400557		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Oman/520244618/2020	EPI_ISL_1532282		Oman-National Influenza Center	Biotechnology & OMICs Laboratory	Ahmed Al Harrasi et al
hCoV-19/Oman/520278485/2020	EPI_ISL_1532304		Oman-National Influenza Center	Biotechnology & OMICs Laboratory	Abdul Latif Khan et al
hCoV-19/Oman/205030448/2020	EPI_ISL_458121		Oman National Influenza Centre	Department of Microbiology and Immunology-SQUH	Fahad Zadjali et al
hCoV-19/Oman/520259611/2020	EPI_ISL_1532298		Oman-National Influenza Center	Biotechnology & OMICs Laboratory	Abdul Latif Khan et al
hCoV-19/Oman/520278487/2020	EPI_ISL_1532305		Oman-National Influenza Center	Biotechnology & OMICs Laboratory	Abdul Latif Khan et al
hCoV-19/Spain/MD-IBV-99007106/2020	EPI_ISL_541885		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Laura Pérez-Lago et al
